S.No,state_code,latitude,longitude,zip_code,city,name,labels,founded_at,closed_at,period,first_funding_at,last_funding_at,Funding period,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,total_rounds,avg_participants,is_top500,status
65,CA,37.7831775,-122.3086191,94501,Alameda,Makani Power,1,01-01-2006,12/31/2013,2921,8/23/2008,8/23/2008,0,2.6438,2.6438,0,7.3918,4,1,5000000,2,1,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,acquired
66,WA,47.765758,-122.184304,98011,Bothell,Myrio,0,12-01-1999,01-01-2012,4414,01-01-2001,01-01-2001,0,1,1,0,0,5,1,20500000,0,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,closed
67,CO,40.730646,-73.986614,80302,Boulder,Intela,1,02-02-2006,12/31/2013,2889,1/18/2010,08-09-2012,934,3.9616,6.5205,4.5781,7.6877,4,2,13250000,4,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,acquired
68,CA,37.54763,-122.307887,94403-1855,San Mateo,Sana Security,1,01-01-2000,12/31/2013,5113,04-02-2007,04-02-2007,0,7.2548,7.2548,7.0055,7.0055,7,1,12000000,1,1,0,0,0,security,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,acquired
69,CA,37.790485,-122.40094,94104,San Francisco,Sportgenic,1,09-01-2005,12/31/2013,3043,01-01-2007,09-09-2008,617,1.3342,3.0247,3.0219,3.337,9,3,11489687,2,1,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2,3.3333,1,acquired
70,CA,37.7870923,-122.3999719,94105,San Francisco,Lolapps,1,01-01-2008,12/31/2013,2191,09-05-2008,09-05-2008,0,0.6795,0.6795,2.9178,4.2274,15,1,4000000,3,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,acquired
71,CA,37.3492097,-122.0326019,94087,Sunnyvale,Behavio,1,06-12-2012,12/31/2013,567,06-01-2012,06-01-2012,0,-0.0301,-0.0301,0.137,0.137,3,1,355000,1,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,acquired
72,FL,28.098905,-82.400087,33626,Tampa,Infinity Box,1,01-01-2006,12/31/2013,2921,01-01-2006,04-01-2006,90,0,0.2466,2.4164,5.3151,10,2,118000,3,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5,1,acquired
73,CA,37.779026,-122.40184,94103,San Francisco,adBrite,1,01-01-2003,02-01-2001,-699,09-01-2004,05-01-2012,2799,2,9,7,10,17,4,40400000,3,1,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,4,1.6667,1,acquired
74,TX,32.9583632,-96.8215658,75001,Dallas,Texert,0,01-01-2007,7/14/2008,560,10/21/2008,10/21/2008,0,2,2,0,0,1,1,3000000,0,0,0,0,1,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,closed
75,CA,37.54827,-121.988572,94538,Fremont,Mendocino Software,0,01-01-2003,02-07-2008,1863,09-12-2005,01-01-2007,476,3,4,1,1,2,2,19700000,1,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4,1,closed
76,CA,37.354469,-121.990433,95051,Santa Clara,QuikCycle,0,01-01-1998,01-01-2011,4748,03-01-2007,03-12-2007,11,9,9,0,0,0,2,17800000,0,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,closed
77,CA,37.779281,-122.419236,94107,San Francisco,Instagram,1,03-01-2010,12/31/2013,1401,03-05-2010,04-05-2012,762,0.011,2.0986,3.0904,3.7836,12,3,57500000,3,1,0,0,0,photo_video,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,4,1,acquired
78,NY,40.606061,-73.822331,10004,New York,Motionbox,1,01-01-2006,12/31/2013,2921,09-01-2006,1/14/2009,866,0.6658,3.0384,2,5.0548,10,3,17200000,5,0,1,0,0,games_video,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,3,2.6667,1,acquired
79,MA,42.3751,-71.105616,2138,Cambridge,AccelGolf,0,08-01-2008,05-01-2013,1734,01-01-2008,12-04-2009,703,-1,1,0,2,4,7,457282,2,0,0,1,0,mobile,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,closed
80,CA,37.779281,-122.419236,94105,San Francisco,MoPub,1,09-09-2010,12/31/2013,1209,09-01-2010,9/20/2012,750,-0.0219,2.0329,2.3151,3.1644,11,4,18500000,3,1,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2.25,1,acquired
81,NJ,40.349274,-74.659296,8540,Princeton,DNP Green Technology,0,01-01-2008,8/24/2012,1697,1/17/2010,1/17/2010,0,2,2,0,0,2,1,12000000,0,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,6,1,closed
82,CO,40.397761,-105.07498,80538,Loveland,Abound Solar,0,01-01-2007,11-01-2012,2131,07-06-2010,12/15/2010,162,4,4,4,5,5,2,510000000,3,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2.5,1,closed
83,CA,37.420428,-122.090769,94043,Mountain View,Trovix,1,01-01-2002,12/31/2013,4382,12-07-2005,09-06-2006,273,3.9342,4.6822,4.0027,4.0027,3,2,18250000,1,1,0,0,0,search,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,2.5,1,acquired
84,NY,40.725435,-73.997395,10012,New York,Thumbplay,1,09-01-2004,12/31/2013,3408,10/30/2006,4/21/2010,1269,2.1616,5.6384,3.8329,7.6932,13,4,41500019,5,0,1,0,0,music,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,1,acquired
85,WV,39.388156,-77.885552,25430,Kearneysville,Plethora Technology,0,01-01-2000,5/23/2009,3430,06-09-2005,06-09-2005,0,5,5,0,0,1,1,1000000,0,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,closed
86,CA,34.043948,-118.468204,90025,Los Angeles,DailyStrength,1,04-01-2006,12/31/2013,2831,5/18/2007,5/18/2007,0,1.1288,1.1288,1,2.6767,7,1,5000000,2,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,acquired
87,MI,42.350749,-83.444589,48187,Canton,Danotek Motion Technologies,0,01-01-2001,05-01-2013,4503,11/19/2008,8/30/2011,1014,8,11,0,0,2,3,42700000,1,0,0,0,0,cleantech,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,3.6667,1,closed
88,CA,37.388869,-122.072353,94041,Mountain View,Yub,0,01-01-2013,01-01-2005,-2922,11/19/2013,11/19/2013,0,1,1,0,0,7,1,12000000,0,1,0,0,0,ecommerce,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,1,closed
89,WA,47.614018,-122.19655,98004,Bellevue,SNAPin Software,1,01-01-2003,12/31/2013,4017,07-11-2005,02-07-2006,211,2.526,3.1041,3.0027,9.126,5,2,22300000,2,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4.5,1,acquired
90,CA,37.406217,-121.976473,95054,Santa Clara,Azuro,1,01-01-2002,12/31/2013,4382,01-01-2006,11/13/2009,1412,4.0027,7.8712,0.1616,0.1616,5,2,10000000,1,1,0,0,0,semiconductor,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,4,1,acquired
91,DC,37.09024,-95.712891,20007,Washington,ARPU,0,05-01-2005,05-04-2010,1829,07-01-2006,12/29/2009,1277,1,5,0,0,1,3,15564591,0,0,0,0,0,advertising,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,2,3.5,1,closed
